participant_id,session_id,block_index,task_index,question_index,task_type,condition,time_s,answer,answer_correct,confidence,helpfulness,chat_turn_count,hidden_count,hide_recall,ctrl_f_count,text_select_count,click_count,mouse_move_px,page_visit_count,question_or_task
9,9,0,0,0,find,extension,21.909,Approximately $2.08 billion,True,very,very,1,0,,0,0,0,249,0,How much did Taylor Swift earn from the Eras Tour?
9,9,0,0,1,find,extension,53.331,Dejima,True,very,very,1,0,,0,0,0,198,0,Which small artificial island in Nagasaki Bay was used to confine foreign traders during Japan's isolation period?
9,9,0,0,2,find,extension,50.902,About 2°F (1°C) warmer,True,very,very,1,0,,0,0,0,0,0,How much has global temperature increased since the late 19th century?
9,9,0,1,0,guide,extension,89.707,completed,,very,very,1,0,,0,0,8,13848,2,How to create an appointment schedule and a booking page?
9,9,0,1,1,guide,extension,45.203,completed,,very,very,1,0,,0,0,2,1445,3,How do I change my user ID
9,9,0,1,2,guide,extension,65.036,completed,,very,very,1,0,,0,0,0,0,3,How do I turn on vacation responder?
9,9,0,2,0,hide,extension,32.293,completed,,very,very,1,10,0.636,0,0,1,214,0,Hide posts about credit
9,9,0,2,1,hide,extension,26.461,completed,,very,very,1,7,0.6,0,0,0,0,0,Hide negative comments about ronaldo
9,9,0,2,2,hide,extension,124.509,completed,,very,very,2,11,1.0,0,0,0,0,0,"Hide posts about openclaw or clawbot, etc"
12,12,0,0,0,find,control,53.006,This phase begins once the third review has been submitted,True,very,,0,0,,0,1,1,963,0,when could the authors reply back to the reviewers comments
12,12,0,0,1,find,control,78.815,Lighting that allows playing at night,True,somewhat,,0,0,,1,1,2,2569,0,What makes the Chanhassen Pickleball Complex appealing to players after sunset?
12,12,0,0,2,find,control,177.65,Scoring was simplified to a point system,False,somewhat,,0,0,,0,2,3,3543,2,What is one major change in the rules compared with the early version of tennis?
12,12,0,1,0,guide,control,76.563,completed,,very,,0,0,,0,0,13,7747,10,How do I set up email forwarding in Gmail?
12,12,0,1,1,guide,control,33.329,failed,,notsure,,0,0,,0,0,5,2679,0,How can you highlight duplicate values in a column using conditional formatting?
12,12,0,1,2,guide,control,64.238,partial,,guessed,,0,0,,0,0,9,3408,11,How do I change my user ID
12,12,0,2,0,hide,control,107.359,partial,,somewhat,,0,1,0.0,0,0,0,0,0,hide negative comments about jobs
12,12,0,2,1,hide,control,116.442,completed,,somewhat,,0,17,0.636,1,0,17,10333,0,Hide posts about credit
12,12,0,2,2,hide,control,41.78,completed,,somewhat,,0,5,0.6,0,0,6,2718,0,Hide negative comments about ronaldo
16,16,0,0,0,find,extension,169.315,It immediately ended armed resistance inside France,False,somewhat,not,1,0,,0,0,0,0,0,Why did the execution of Louis XVI intensify the conflict between revolutionary and counter-revolutionary forces?
16,16,0,0,1,find,extension,20.282,This phase begins once the third review has been submitted,True,somewhat,somewhat,1,0,,0,1,1,1915,0,when could the authors reply back to the reviewers comments
16,16,0,0,2,find,extension,105.433,Lighting that allows playing at night,True,somewhat,somewhat,1,0,,0,0,4,4737,0,What makes the Chanhassen Pickleball Complex appealing to players after sunset?
16,16,0,1,0,guide,extension,139.314,failed,,notsure,not,1,0,,0,0,5,3165,0,How can you freeze the first row in a Google Sheet so it stays visible when scrolling?
16,16,0,1,1,guide,extension,37.73,completed,,very,very,1,0,,0,0,5,5642,2,How do I change my user ID
16,16,0,1,2,guide,extension,93.811,completed,,very,very,1,0,,0,0,12,8787,4,How do I turn on vacation responder?
16,16,0,2,0,hide,extension,64.19,completed,,very,very,1,15,0.2,0,0,20,3036,0,Hide negative comments about ronaldo
16,16,0,2,1,hide,extension,32.38,completed,,very,very,1,5,0.375,0,0,7,901,0,"Hide posts about openclaw or clawbot, etc"
16,16,0,2,2,hide,extension,47.897,completed,,somewhat,somewhat,1,5,0.0,0,0,8,5436,0,hideo videos that have advance skills of badminton
38,38,0,0,0,find,extension,87.535,The net height was standardized and service rules changed,True,somewhat,somewhat,1,0,,0,0,0,2599,0,What is one major change in the rules compared with the early version of tennis?
38,38,0,0,1,find,extension,21.818,Approximately $2.08 billion,True,very,very,1,0,,0,0,1,1397,0,How much did Taylor Swift earn from the Eras Tour?
38,38,0,1,0,guide,extension,134.474,partial,,notsure,somewhat,0,0,,0,0,1,855,7,How can you create a view that only shows tasks marked as “Completed”?
