name,task_id,task,website_url,ground truth,reference_length,level,popularity,use case,need login,need user input ,notes,ground truth steps
Expedia,,Book a 4 star hotel in Austin,https://www.expedia.com,,,,,,,,,1. Open expedia.com; 2. Type Austin 3. Click Search 4. Click 4 star in the filter 5. Click on sort by recommended 6. Sort by price low to high
Expedia,,"Book a cruise going to Alaska, departing between jun 19 to 20, for duration of 3 - 9 nights",https://www.expedia.com,,,,,,,,,1. Open expedia.com; 2. Click Cruises; 3. Type Alaska; 4. Click on Departing Between; 5. Click on Jun 19; 6 Click on Jun 20; 7. Click Done to close; 8. Click Duration; 9. Click Done; 10 Click Search 
Booking.com,,Book a  hotel in Auburn for 4 children,https://www.booking.com,,,,,,,,,1. Open expedia.com; 2. Type Auburn 3. Open dropdown menu for 4 children  4. Click Search
Booking.com,,Find Attractions in New York in June 19 ,https://www.booking.com,,,,,,,,,"1. Open Booking.com; 2. Click on ""Attraction"" Button; 3. Type New York; 4. Click on Dates; 5. Choose June 19; 6. Click Search button "
Amazon.com,,Add an orange to a cart ,https://www.amazon.com,,,,,,,,,"1. Go to amazon.com; 2. Type orange in the search bar; 3. Click search; 4. Click ""Add to cart"" button "
Amazon.com,,"Search for Whole Eggs and filter by ""All Prime"" ",https://www.amazon.com,,,,,,,,,"1. Go to amazon.com; 2. Type Whole Eggs in the search bar; 3. Click search; 4. Click ""All Prime"" in the filter "
Agoda,,Search for 5 star activities in Las Vegas ,https://www.agoda.com,,,,,,,,,1. Go to agoda.com ; 2. Click Activities; 3. Type Las Vegas; 4. Click Search; 5. Click 5 stars 
Agoda.com,,Search for Los Angele from June 19 to June 30 for 2 adults ,https://www.agoda.com,,,,,,,,,"1. Go to agoda.com ; 2. Type Los Angeles ; 3. Click on June 19 ; 4. Click on June 30; 5. Click on 2 adults button; 6. 5. Click ""Search"""
Uniqulo,,Search for bra top and sort by new arrivals,https://www.uniqlo.com/us/en/,,,,,,,,,1. Go to uniqlo.com; 2. Type bra top in search bar; 3. Click search button; 4. Click filter by arrivals. 
Uniqulo,,Search for Pokemon and filter only XS,https://www.uniqlo.com/us/en/,,,,,,,,,1. Go to uniqlo.com; 2. Type Pokemon in search bar; 3. Click search button; 4. Click on size; 5. Click on XS button
Airbnb,,"Search for experiences in Panama, Florida during June 23 and 2 adults ",https://www.airbnb.com,,,,,,,,,"1. Go to airbnb.com; 2. Click Experiences button; 3. Type Panama, FL; 4. Click on date dropdown menu; 5. Search for Jun 23; 6. Click on Who; 7. Click + button for adults; 8. Click Search  "
Airbnb,,Search for Photography services in Auburn in June 24 ,https://www.airbnb.com,,,,,,,,,1. Go to airbnb.com; 2. Click Services button; 3. Type Auburn ; 5. Click on June 24 for dates button; 6. Click on Types of services; 7. Click on Photography; 8. Click on Search  
